Car_ID,Brand,Model,Year,Price_USD,Mileage_km
1,Kia,Picanto,2015,13441,73945
2,Suzuki,Swift,2015,19284,73446
3,Kia,Cerato,2017,17539,16355
4,Suzuki,Cultus,2017,34661,13617
5,Honda,Accord,2023,20486,92526
6,Toyota,Corolla,2020,27001,23228
7,Kia,Cerato,2023,28139,96466
8,Kia,Sportage,2022,39144,12695
9,Honda,City,2018,31727,99520
10,Hyundai,Sonata,2020,14248,68648
11,Suzuki,Alto,2020,23844,89779
12,Hyundai,Sonata,2022,30765,88527
13,Kia,Sportage,2022,20305,58405
14,Suzuki,Swift,2023,17405,40391
15,Suzuki,Swift,2023,34046,52498
16,Suzuki,Cultus,2018,26814,95691
17,Honda,Accord,2023,33338,6513
18,Kia,Sportage,2023,36457,55592
19,Kia,Picanto,2020,11044,15278
20,Suzuki,Swift,2019,8358,93697
21,Honda,Civic,2016,37902,51387
22,Honda,City,2018,39390,34704
23,Kia,Picanto,2023,37770,97075
24,Honda,City,2022,35856,12678
25,Suzuki,Alto,2021,21972,68084
26,Toyota,Yaris,2019,28011,82140
27,Suzuki,Alto,2019,32177,14538
28,Honda,Accord,2020,37887,69559
29,Suzuki,Cultus,2020,13173,57946
30,Toyota,Camry,2018,36751,32125
31,Honda,Accord,2023,23162,32429
32,Toyota,Yaris,2015,28782,14184
33,Honda,Civic,2015,21394,16009
34,Hyundai,Elantra,2016,26152,106662
35,Hyundai,Sonata,2022,31427,13405
36,Suzuki,Swift,2015,25095,47294
37,Kia,Sportage,2022,36249,82259
38,Honda,City,2015,28494,110952
39,Honda,City,2018,25699,86308
40,Kia,Picanto,2016,21138,19220
41,Honda,Civic,2016,13025,46139
42,Suzuki,Swift,2020,24712,107151
43,Toyota,Yaris,2022,16964,113081
44,Kia,Sportage,2015,27768,70826
45,Suzuki,Alto,2020,32159,26810
46,Toyota,Corolla,2016,27446,50852
47,Kia,Sportage,2020,23659,8336
48,Kia,Sportage,2021,8540,5309
49,Suzuki,Cultus,2022,14976,31957
50,Kia,Cerato,2022,31265,17951
